;titular;descripcion;fecha;hora
20;Un grupo de hombres agrede sexualmente a una mujer en Barakaldo;La Ertzaintza ha detenido a dos de ellos. Se trata de dos jóvenes de 25 y 26 años. La víctima logró huir gracias a la ayuda de un viandante.;10/04/2019;15:29
21;'Son 2 niñas muy educadas pero hemos pasado 6 meses de calvario';En Pamplona un vecino ha conseguido poner fin a varios meses de molestias por los 'jaleos' que se organizaban en un piso de estudiantes a base de tocar muchas puertas y buscar todo tipo de soluciones.;10/04/2019;15:29
22;El comité de Euskaltel se muestra preocupado por la situación de la empresa;"Según han trasladado a la dirección, no ven ""bueno ojos"" el movimiento de Euskaltel, teniendo en cuenta las ""intenciones que suelen tener los fondos de este tipo"" con el objetivo de ""ganar dinero"".";10/04/2019;15:25
23;Las obras en Punta Begoña dejan al descubierto un yacimiento de hace 5.000 años;La fragilidad de los restos encontrados, fragmentos muy pequeños de cerámica, sílex y restos de carbón vegetal, han llevado a proteger y tapar el hallazgo.;10/04/2019;14:59
24;Hallado el cadáver de un espeleólogo donostiarra de 71 años en una cueva de Biriatu;El hombre, de 71 años, se adentró en solitario en la gruta hace unos cinco días. Su hija, al no saber de su paradero, alertó a los servicios de emergencia.;10/04/2019;13:59
25;"Air France aumenta un 30 % la frecuencia de sus vuelos entre Loiu y París 
";Las nuevas frecuencias, seis diarias, tres en cada dirección, están operativas desde el pasado 31 de marzo, con lo que ofrecerán 150.000 asientos durante esta temporada.;10/04/2019;13:08
26;ELA critica la 'privatización' de Euskaltel y responsabiliza al Gobierno Vasco;"""Tras socializar las pérdidas generadas en los primeros ejercicios, los beneficios se están privatizando"", según critica ELA.";10/04/2019;12:56
27;El Gobierno Vasco insiste a ELA y LAB que acudan a la Mesa de Diálogo Social;La Mesa de Diálogo Social fue reactivada el pasado 15 de enero, con la participación de CCOO, UGT y la patronal Confebask, y la ausencia de ELA y LAB. ;10/04/2019;12:42
28;Recordamos el 25 aniversario del genocidio de Ruanda;El profesor Felipe González nos da las claves para entender qué sucedió durante los 100 días en los que asesinaron a más de 800.000 personas en Ruanda, la mayoría tutsis,aunque también hutus moderados;10/04/2019;12:39
29;Dbus renovará este año su flota con la compra de 9 autobuses de 12 metros;Los vehículos se adquirirán en 2019 y se pondrán en servicio en 2020. Además prevé que se puedan adquirir hasta un máximo de 30 autobuses adicionales de estas características en los próximos 4 años. ;10/04/2019;11:54
30;Conocemos 'el subidón' de dos funcionarios salidos de una OPE pionera;Bizkaia ha realizado una OPE de cinco plazas dirigida sólo a personas con alguna discapacidad intelectual. Hablamos con dos de los nuevos funcionarios: Araitz Etxebarria y Unai Serrano.;10/04/2019;11:45
31;Hallado el cadáver de un espeleólogo donostiarra en una cueva de Biriatu;El hombre, de 71 años, se adentró en solitario en la gruta hace unos cinco días. Su hija, al no saber de su paradero, alertó a los servicios de emergencia. ;10/04/2019;11:45
32;Mendia dice que 'si puede', Sánchez cumplirá con las transferencias con Euskadi;"La secretaria general del PSE-EE asegura que si Pedro Sánchez sale reelegido ""existe un compromiso para cumplir ese calendario y continuar trabajando"".";10/04/2019;11:39
33;Gorka Knörr: 'Puigdemont refleja muy bien lo que muchos quieren en Euskal Herria';El exeurodiputado de EA ocupará el quinto lugar en la lista de JxCat encabezada por Carles Puigdemont de cara a las elecciones europeas. ;10/04/2019;11:27
34;Baipás en el Corredor del Cadagua por un desprendimiento en Alonsotegi;El desprendimiento, de grandes dimensiones, ha ocurrido de madrugada y ha obligado a cortar la BI-636 en dirección Bilbao, por lo que se han registrado retenciones. ;10/04/2019;11:25
35;Emergencia sanitaria en Nueva York por un brote de sarampión en una zona judía ;Entre los judíos de Brooklyn circula una publicación que anima a no vacunarse, pero los no vacunados deberán recibir la triple vírica o se enfrentarán a multas de 1.000 dólares.;10/04/2019;11:18
36;'Nos tiene que preocupar que Zegona se convierta en accionista principal';El presidente de CEBEK, Iñaki Garcinuño, señala en Radio Euskadi que 'Euskaltel es un tema de país y nos tiene que preocupar que ese arraigo desaparezca'.;10/04/2019;11:01
37;Desprendimiento en la  BI-636, a la altura de Alonsotegi;El suceso ha tenido lugar a las 04:10 horas. El desprendimiento ha provocado el corte de la vía durante varias horas y retenciones de 3 kilómetros.;10/04/2019;11:00
38;343.000 oyentes para las radios de EiTB, en la 1ª oleada del EGM;Radio Euskadi logra 128.000 oyentes y Euskadi Irratia 104.000 oyentes de lunes a viernes.;10/04/2019;10:54
39;'Si el PSN tiene más votos que Navarra Suma investiremos a María Chivite';"Javier Esparza destaca que Ciudadanos se ha comprometido a respetar la foralidad ingresando en Navarra Suma. ""Queremos la competencia de tráfico, pero no para echar a la Guardia Civil"". ";10/04/2019;10:39
